text,label
"Hey, are we still meeting tomorrow?",0
"Could you please send me the latest report?",0
"Lunch at 12?",0
"I will be late to the meeting.",0
"Don't forget to submit the assignment by Friday.",0
"Win a FREE iPhone now! Click here to claim your prize.",1
"Buy one get one free, limited time offer!",1
"You have been selected for a cash reward. Reply to claim.",1
"Cheap loans available. 0% interest.",1
"Congratulations! You won a $1000 Walmart gift card.",1
"안녕하세요, 오늘 회의 참석 가능하신가요?",0
"이따가 점심 같이 먹을래?",0
"보고서 다 작성해서 메일로 보냈습니다.",0
"주말에 시간 괜찮으면 영화 보러 가자.",0
"오늘 늦을 것 같아. 먼저 시작해.",0
"당일 대출 승인 무조건 해드립니다.",1
"축하합니다! 이벤트에 당첨되셨습니다. 클릭하여 경품을 수령하세요.",1
"회원님을 위한 특별한 혜택! 지금 바로 확인하세요.",1
"무담보 무보증 최저 금리 대출 당일 송금",1
"[Web발신] 무료 주식 리딩방 입장하기",1
